Date,Decile 2,Decile 9,CPIH
Jan-08,2.4,2.5,2.4
Feb-08,2.7,2.6,2.6
Mar-08,2.7,2.6,2.6
Apr-08,3.1,2.9,3.0
May-08,3.5,3.1,3.3
Jun-08,3.9,3.4,3.7
Jul-08,4.6,3.8,4.2
Aug-08,5.0,3.9,4.4
Sep-08,5.3,4.4,4.8
Oct-08,4.7,3.7,4.2
Nov-08,4.4,3.3,3.8
Dec-08,3.9,2.3,3.0
Jan-09,4.0,2.1,2.9
Feb-09,4.0,2.3,3.1
Mar-09,3.6,2.1,2.8
Apr-09,3.0,1.7,2.3
May-09,2.7,1.6,2.1
Jun-09,2.1,1.3,1.7
Jul-09,1.9,1.4,1.6
Aug-09,1.3,1.3,1.4
Sep-09,0.9,0.9,1.0
Oct-09,1.1,1.1,1.2
Nov-09,1.3,1.4,1.5
Dec-09,1.5,2.5,2.1
Jan-10,1.9,2.9,2.6
Feb-10,1.4,2.5,2.1
Mar-10,1.7,2.9,2.4
Apr-10,2.0,3.1,2.7
May-10,1.8,2.8,2.5
Jun-10,1.8,2.8,2.4
Jul-10,1.8,2.5,2.3
Aug-10,2.0,2.6,2.4
Sep-10,2.0,2.7,2.4
Oct-10,2.2,2.8,2.5
Nov-10,2.4,2.9,2.6
Dec-10,2.8,3.2,3.1
Jan-11,3.0,3.6,3.4
Feb-11,3.4,3.8,3.7
Mar-11,3.1,3.6,3.5
Apr-11,3.6,3.9,3.8
May-11,3.6,3.9,3.8
Jun-11,3.5,3.6,3.6
Jul-11,3.7,3.8,3.8
Aug-11,3.9,3.9,3.9
Sep-11,4.4,4.3,4.5
Oct-11,4.3,4.2,4.3
Nov-11,4.1,4.0,4.1
Dec-11,3.8,3.5,3.7
Jan-12,3.4,2.7,3.2
Feb-12,3.4,2.6,3.1
Mar-12,3.4,2.6,3.1
Apr-12,3.0,2.3,2.8
May-12,2.8,2.2,2.5
Jun-12,2.5,2.0,2.3
Jul-12,2.5,2.4,2.4
Aug-12,2.4,2.5,2.3
Sep-12,2.2,1.9,2.1
Oct-12,2.4,2.3,2.4
Nov-12,2.5,2.2,2.4
Dec-12,2.5,2.4,2.4
Jan-13,2.4,2.7,2.4
Feb-13,2.5,2.8,2.5
Mar-13,2.5,2.7,2.5
Apr-13,2.3,2.3,2.2
May-13,2.5,2.5,2.4
Jun-13,2.6,2.6,2.6
Jul-13,2.6,2.2,2.5
Aug-13,2.6,2.0,2.4
Sep-13,2.4,2.4,2.4
Oct-13,2.2,2.1,2.0
Nov-13,2.1,2.1,1.9
Dec-13,2.1,1.8,1.9
Jan-14,2.0,1.7,1.8
Feb-14,1.8,1.5,1.6
Mar-14,1.8,1.4,1.5
Apr-14,1.8,1.6,1.7
May-14,1.5,1.4,1.5
Jun-14,1.9,1.8,1.8
Jul-14,1.6,1.6,1.6
Aug-14,1.6,1.6,1.5
Sep-14,1.3,1.3,1.3
Oct-14,1.3,1.3,1.3
Nov-14,1.0,1.0,1.1
Dec-14,0.7,0.7,0.7
Jan-15,0.5,0.5,0.5
Feb-15,0.3,0.3,0.4
Mar-15,0.3,0.3,0.3
Apr-15,0.2,0.2,0.3
May-15,0.4,0.4,0.4
Jun-15,0.2,0.3,0.3
Jul-15,0.4,0.4,0.5
Aug-15,0.2,0.3,0.4
Sep-15,0.1,0.2,0.2
Oct-15,0.2,0.3,0.2
Nov-15,0.3,0.5,0.4
Dec-15,0.3,0.6,0.5
Jan-16,0.6,0.6,0.6
Feb-16,0.6,0.6,0.6
Mar-16,0.6,0.8,0.8
Apr-16,0.6,0.7,0.7
May-16,0.7,0.7,0.7
Jun-16,0.8,0.8,0.8
Jul-16,0.9,0.9,0.9
Aug-16,0.9,1.0,1.0
Sep-16,1.2,1.2,1.3
Oct-16,1.3,1.2,1.3
Nov-16,1.4,1.4,1.5
