Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,0.83,0.82,0.81,0.8,0.8,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.76,0.75,0.75,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.7,0.69
Albania,0.3,0.31,0.31,0.32,0.32,0.33,0.34,0.35,0.37,0.39,0.39,0.38,0.37,0.36,0.35,0.33,0.32,0.31,0.31,0.25,0.24,0.24,0.24,0.22
Algeria,0.71,0.7,0.69,0.68,0.67,0.66,0.64,0.63,0.62,0.62,0.6,0.59,0.55,0.54,0.54,0.53,0.52,0.5,0.5,0.49,0.49,0.49,0.4,0.4
Argentina,0.52,0.49,0.47,0.46,0.44,0.43,0.42,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37
Armenia,0.36,0.37,0.38,0.38,0.39,0.4,0.41,0.43,0.42,0.46,0.45,0.44,0.44,0.41,0.39,0.39,0.39,0.35,0.35,0.34,0.34,0.34,0.32,0.32
Australia,0.27,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.19,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.11
Austria,0.25,0.24,0.23,0.21,0.19,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.13,0.12,0.12,0.12,0.11,0.12,0.1,0.09,0.08,0.07,0.05
Bahrain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.61,0.6,0.59,0.39,0.39,0.39,0.39,0.39,0.3,0.29,0.29
Bangladesh,0.67,0.66,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.64,0.68,0.67,0.67,0.57,0.56,0.57,0.59,0.53,0.52,0.51,0.51,0.5
Barbados,0.53,0.51,0.49,0.46,0.43,0.4,0.39,0.38,0.38,0.39,0.39,0.38,0.38,0.36,0.35,0.35,0.37,0.38,0.41,0.42,0.43,0.42,0.41,0.37
Belgium,0.22,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.13,0.13,0.13,0.13,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.07,0.07,0.07
Belize,0.75,0.68,0.64,0.61,0.59,0.56,0.58,0.58,0.59,0.56,0.56,0.55,0.54,0.58,0.53,0.52,0.51,0.55,0.72,0.71,0.71,0.7,0.52,0.51
Benin,0.73,0.72,0.71,0.7,0.7,0.69,0.68,0.67,0.67,0.67,0.67,0.67,0.66,0.66,0.65,0.65,0.64,0.62,0.62,0.61,0.61,0.62,0.62,0.61
Bolivia,0.63,0.62,0.62,0.61,0.61,0.6,0.6,0.59,0.59,0.58,0.58,0.58,0.55,0.54,0.54,0.54,0.54,0.53,0.53,0.51,0.5,0.49,0.49,0.49
Botswana,0.62,0.61,0.6,0.59,0.58,0.58,0.57,0.57,0.57,0.55,0.53,0.53,0.52,0.52,0.54,0.53,0.52,0.52,0.51,0.52,0.51,0.5,0.5,0.49
Brazil,0.56,0.55,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.51,0.51,0.49,0.48,0.48,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46
Bulgaria,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34,0.35,0.35,0.35,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.22,0.22,0.21,0.2,0.2
Burundi,no data,no data,no data,no data,no data,no data,no data,no data,0.6,0.63,0.59,0.58,0.57,0.56,0.56,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5
Cambodia,no data,no data,no data,no data,no data,no data,no data,0.65,0.64,0.62,0.61,0.61,0.6,0.58,0.58,0.57,0.56,0.51,0.52,0.49,0.48,0.48,0.48,0.47
Cameroon,0.67,0.68,0.68,0.68,0.68,0.69,0.69,0.7,0.69,0.69,0.69,0.69,0.67,0.67,0.66,0.66,0.66,0.63,0.63,0.63,0.63,0.62,0.62,0.58
Canada,0.21,0.21,0.21,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13
Central African Republic,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.7,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.68,0.67,0.68,0.67,0.66,0.66,no data
Chile,no data,no data,no data,no data,no data,no data,no data,0.46,0.44,0.43,0.42,0.42,0.41,0.4,0.4,0.38,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35
"China, People's Republic of",0.32,0.29,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.19
Colombia,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.52,0.52,0.52,0.53,0.52,0.51,0.5,0.5,0.49,0.51,0.5,0.5,0.49,0.46,0.46,0.46,0.46
"Congo, Dem. Rep. of the",0.72,0.71,0.71,0.7,0.7,no data,0.69,0.69,0.69,no data,0.68,no data,no data,no data,0.67,0.67,0.68,0.68,0.68,0.68,0.68,0.67,0.67,0.67
"Congo, Republic of ",0.64,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.62,0.62,0.63,0.62,0.62,0.62,0.62,0.62,0.61
Costa Rica,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.44,0.44,0.44,0.42,0.39,0.39,0.39,0.38,0.37,0.36,0.35,0.35,0.33,0.34,0.34,0.34
Croatia,no data,no data,no data,no data,no data,no data,no data,0.27,0.26,0.25,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.16,0.15
Cuba,0.43,0.42,0.42,0.42,0.42,0.42,0.43,0.43,0.42,0.41,0.41,0.4,0.4,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.37,0.36,0.36,0.36
Cyprus,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.29,0.28,0.24,0.2,0.19,0.18,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.13
Czech Republic,no data,no data,no data,no data,no data,no data,no data,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.11,0.1,0.08,0.09
Côte d'Ivoire,0.74,0.73,0.72,0.72,0.71,0.71,0.7,0.7,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.67,0.67,0.67
Denmark,0.1,0.1,0.11,0.11,0.12,0.12,0.11,0.1,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05
Dominican Republic,0.6,0.6,0.59,0.58,0.57,0.56,0.55,0.54,0.52,0.51,0.51,0.51,0.5,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.49,0.48,0.47
Ecuador,0.61,0.6,0.6,0.59,0.59,0.59,0.59,0.58,0.5,0.5,0.5,0.49,0.49,0.48,0.48,0.48,0.45,0.45,0.45,0.43,0.43,0.43,0.42,0.41
Egypt,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.66,0.65,0.65,0.64,0.63,0.63,0.62,0.61,0.62,0.62,0.61,0.6,0.6,0.48,0.58,0.58,no data
El Salvador,0.55,0.55,0.54,0.53,0.53,0.53,0.52,0.52,0.5,0.5,0.52,0.52,0.51,0.5,0.5,0.5,0.47,0.47,0.47,0.46,0.45,0.45,0.43,0.43
Estonia,no data,no data,no data,no data,no data,no data,no data,0.34,0.33,0.29,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.22,0.19,0.16,0.16,0.16,0.15,0.16
