Country,Year,annual GDP growth (%)
France,1961,3.6
France,1962,5.36
France,1963,4.75
France,1964,5.25
France,1965,3.63
France,1966,4.18
France,1967,4
France,1968,3.68
France,1969,6.31
France,1970,5.3
France,1971,4.49
France,1972,3.68
France,1973,5.52
France,1974,3.55
France,1975,-1.58
France,1976,3.8
France,1977,2.99
France,1978,3.55
France,1979,3.13
France,1980,1.13
France,1981,0.58
France,1982,1.97
France,1983,0.69
France,1984,0.95
France,1985,1.05
France,1986,1.76
France,1987,1.98
France,1988,4.15
France,1989,3.78
France,1990,2.4
France,1991,0.49
France,1992,1.1
France,1993,-1.06
France,1994,1.98
France,1995,1.74
France,1996,1.05
France,1997,1.97
France,1998,3.21
France,1999,2.89
France,2000,3.21
France,2001,1.24
France,2002,0.4
France,2003,0.11
France,2004,2.08
France,2005,0.9
France,2006,1.74
France,2007,1.79
France,2008,-0.3
France,2009,-3.37
France,2010,1.45
France,2011,1.7
France,2012,-0.17
France,2013,0.06
France,2014,0.48
France,2015,0.75
France,2016,0.83
France,2017,1.99
France,2018,1.59
France,2019,1.62
France,2020,-8.03
France,2021,6.77
United Kingdom,1961,1.9
United Kingdom,1962,0.25
United Kingdom,1963,4.09
United Kingdom,1964,4.85
United Kingdom,1965,1.49
United Kingdom,1966,1.01
United Kingdom,1967,2.23
United Kingdom,1968,4.93
United Kingdom,1969,1.5
United Kingdom,1970,5.89
United Kingdom,1971,3.07
United Kingdom,1972,3.97
United Kingdom,1973,6.32
United Kingdom,1974,-2.55
United Kingdom,1975,-1.47
United Kingdom,1976,2.94
United Kingdom,1977,2.49
United Kingdom,1978,4.2
United Kingdom,1979,3.66
United Kingdom,1980,-2.15
United Kingdom,1981,-0.82
United Kingdom,1982,2.03
United Kingdom,1983,4.19
United Kingdom,1984,2.11
United Kingdom,1985,3.91
United Kingdom,1986,2.91
United Kingdom,1987,5.17
United Kingdom,1988,5.5
United Kingdom,1989,2.31
United Kingdom,1990,0.43
United Kingdom,1991,-1.41
United Kingdom,1992,0.13
United Kingdom,1993,2.24
United Kingdom,1994,3.58
United Kingdom,1995,2.26
United Kingdom,1996,2.17
United Kingdom,1997,4.64
United Kingdom,1998,2.85
United Kingdom,1999,2.65
United Kingdom,2000,3.3
United Kingdom,2001,1.68
United Kingdom,2002,1.69
United Kingdom,2003,2.55
United Kingdom,2004,1.77
United Kingdom,2005,1.89
United Kingdom,2006,1.83
United Kingdom,2007,1.48
United Kingdom,2008,-1.02
United Kingdom,2009,-4.97
United Kingdom,2010,1.33
United Kingdom,2011,0.67
United Kingdom,2012,0.77
United Kingdom,2013,1.21
United Kingdom,2014,2.24
United Kingdom,2015,1.81
United Kingdom,2016,1.49
United Kingdom,2017,1.44
United Kingdom,2018,1.04
United Kingdom,2019,1.1
United Kingdom,2020,-9.6
United Kingdom,2021,7.05
